#x y exx eyy exy
0.000000e+00 0.000000e+00 5.324695e+00 5.341971e+00 7.994592e+00
0.000000e+00 1.000000e+02 5.324606e+00 5.342060e+00 7.994438e+00
0.000000e+00 2.000000e+02 5.324514e+00 5.342152e+00 7.994279e+00
0.000000e+00 3.000000e+02 5.324419e+00 5.342247e+00 7.994114e+00
0.000000e+00 4.000000e+02 5.324320e+00 5.342346e+00 7.993943e+00
0.000000e+00 5.000000e+02 5.324218e+00 5.342449e+00 7.993766e+00
0.000000e+00 6.000000e+02 5.324111e+00 5.342555e+00 7.993583e+00
0.000000e+00 7.000000e+02 5.324000e+00 5.342666e+00 7.993393e+00
0.000000e+00 8.000000e+02 5.323885e+00 5.342782e+00 7.993196e+00
0.000000e+00 9.000000e+02 5.323765e+00 5.342902e+00 7.992992e+00
0.000000e+00 1.000000e+03 5.323640e+00 5.343027e+00 7.992780e+00
0.000000e+00 1.100000e+03 5.323509e+00 5.343157e+00 7.992561e+00
0.000000e+00 1.200000e+03 5.323373e+00 5.343294e+00 7.992334e+00
0.000000e+00 1.300000e+03 5.323230e+00 5.343436e+00 7.992099e+00
0.000000e+00 1.400000e+03 5.323082e+00 5.343585e+00 7.991855e+00
0.000000e+00 1.500000e+03 5.322926e+00 5.343741e+00 7.991602e+00
0.000000e+00 1.600000e+03 5.322763e+00 5.343904e+00 7.991340e+00
0.000000e+00 1.700000e+03 5.322592e+00 5.344075e+00 7.991069e+00
0.000000e+00 1.800000e+03 5.322413e+00 5.344254e+00 7.990787e+00
0.000000e+00 1.900000e+03 5.322225e+00 5.344441e+00 7.990496e+00
0.000000e+00 2.000000e+03 5.322029e+00 5.344638e+00 7.990193e+00
0.000000e+00 2.100000e+03 5.321822e+00 5.344845e+00 7.989879e+00
0.000000e+00 2.200000e+03 5.321605e+00 5.345062e+00 7.989554e+00
0.000000e+00 2.300000e+03 5.321376e+00 5.345290e+00 7.989216e+00
0.000000e+00 2.400000e+03 5.321136e+00 5.345530e+00 7.988867e+00
0.000000e+00 2.500000e+03 5.320884e+00 5.345783e+00 7.988504e+00
0.000000e+00 2.600000e+03 5.320618e+00 5.346048e+00 7.988127e+00
0.000000e+00 2.700000e+03 5.320338e+00 5.346328e+00 7.987737e+00
0.000000e+00 2.800000e+03 5.320044e+00 5.346623e+00 7.987331e+00
0.000000e+00 2.900000e+03 5.319733e+00 5.346933e+00 7.986911e+00
0.000000e+00 3.000000e+03 5.319406e+00 5.347261e+00 7.986475e+00
0.000000e+00 3.100000e+03 5.319061e+00 5.347606e+00 7.986022e+00
0.000000e+00 3.200000e+03 5.318697e+00 5.347970e+00 7.985552e+00
0.000000e+00 3.300000e+03 5.318313e+00 5.348354e+00 7.985063e+00
0.000000e+00 3.400000e+03 5.317908e+00 5.348759e+00 7.984556e+00
0.000000e+00 3.500000e+03 5.317480e+00 5.349187e+00 7.984030e+00
0.000000e+00 3.600000e+03 5.317028e+00 5.349639e+00 7.983483e+00
0.000000e+00 3.700000e+03 5.316550e+00 5.350117e+00 7.982914e+00
0.000000e+00 3.800000e+03 5.316045e+00 5.350621e+00 7.982324e+00
0.000000e+00 3.900000e+03 5.315512e+00 5.351155e+00 7.981709e+00
0.000000e+00 4.000000e+03 5.314948e+00 5.351719e+00 7.981071e+00
0.000000e+00 4.100000e+03 5.314351e+00 5.352315e+00 7.980406e+00
0.000000e+00 4.200000e+03 5.313720e+00 5.352946e+00 7.979715e+00
0.000000e+00 4.300000e+03 5.313052e+00 5.353614e+00 7.978995e+00
0.000000e+00 4.400000e+03 5.312346e+00 5.354321e+00 7.978245e+00
0.000000e+00 4.500000e+03 5.311597e+00 5.355070e+00 7.977464e+00
0.000000e+00 4.600000e+03 5.310804e+00 5.355862e+00 7.976651e+00
0.000000e+00 4.700000e+03 5.309965e+00 5.356702e+00 7.975802e+00
0.000000e+00 4.800000e+03 5.309075e+00 5.357592e+00 7.974917e+00
0.000000e+00 4.900000e+03 5.308132e+00 5.358535e+00 7.973994e+00
0.000000e+00 5.000000e+03 5.307132e+00 5.359534e+00 7.973029e+00
0.000000e+00 5.100000e+03 5.306072e+00 5.360595e+00 7.972022e+00
0.000000e+00 5.200000e+03 5.304947e+00 5.361720e+00 7.970969e+00
0.000000e+00 5.300000e+03 5.303753e+00 5.362913e+00 7.969867e+00
0.000000e+00 5.400000e+03 5.302486e+00 5.364180e+00 7.968714e+00
0.000000e+00 5.500000e+03 5.301141e+00 5.365526e+00 7.967507e+00
0.000000e+00 5.600000e+03 5.299712e+00 5.366955e+00 7.966241e+00
0.000000e+00 5.700000e+03 5.298194e+00 5.368473e+00 7.964914e+00
0.000000e+00 5.800000e+03 5.296581e+00 5.370086e+00 7.963522e+00
0.000000e+00 5.900000e+03 5.294866e+00 5.371801e+00 7.962059e+00
0.000000e+00 6.000000e+03 5.293043e+00 5.373624e+00 7.960523e+00
0.000000e+00 6.100000e+03 5.291103e+00 5.375563e+00 7.958906e+00
0.000000e+00 6.200000e+03 5.289040e+00 5.377626e+00 7.957206e+00
0.000000e+00 6.300000e+03 5.286845e+00 5.379821e+00 7.955415e+00
0.000000e+00 6.400000e+03 5.284510e+00 5.382157e+00 7.953528e+00
0.000000e+00 6.500000e+03 5.282024e+00 5.384642e+00 7.951538e+00
0.000000e+00 6.600000e+03 5.279380e+00 5.387287e+00 7.949441e+00
0.000000e+00 6.700000e+03 5.276567e+00 5.390100e+00 7.947227e+00
0.000000e+00 6.800000e+03 5.273575e+00 5.393091e+00 7.944892e+00
0.000000e+00 6.900000e+03 5.270396e+00 5.396271e+00 7.942428e+00
0.000000e+00 7.000000e+03 5.267020e+00 5.399647e+00 7.939830e+00
0.000000e+00 7.100000e+03 5.263440e+00 5.403227e+00 7.937093e+00
0.000000e+00 7.200000e+03 5.259649e+00 5.407018e+00 7.934211e+00
0.000000e+00 7.300000e+03 5.255645e+00 5.411022e+00 7.931185e+00
0.000000e+00 7.400000e+03 5.251429e+00 5.415238e+00 7.928015e+00
0.000000e+00 7.500000e+03 5.247008e+00 5.419658e+00 7.924707e+00
0.000000e+00 7.600000e+03 5.242400e+00 5.424266e+00 7.921275e+00
0.000000e+00 7.700000e+03 5.237635e+00 5.429032e+00 7.917742e+00
0.000000e+00 7.800000e+03 5.232759e+00 5.433907e+00 7.914143e+00
0.000000e+00 7.900000e+03 5.227848e+00 5.438819e+00 7.910535e+00
0.000000e+00 8.000000e+03 5.223010e+00 5.443656e+00 7.907000e+00
0.000000e+00 8.100000e+03 5.218405e+00 5.448261e+00 7.903657e+00
0.000000e+00 8.200000e+03 5.214261e+00 5.452405e+00 7.900679e+00
0.000000e+00 8.300000e+03 5.210901e+00 5.455765e+00 7.898307e+00
0.000000e+00 8.400000e+03 5.208780e+00 5.457886e+00 7.896883e+00
0.000000e+00 8.500000e+03 5.208531e+00 5.458135e+00 7.896881e+00
0.000000e+00 8.600000e+03 5.211030e+00 5.455636e+00 7.898959e+00
0.000000e+00 8.700000e+03 5.217477e+00 5.449190e+00 7.904015e+00
0.000000e+00 8.800000e+03 5.229495e+00 5.437172e+00 7.913266e+00
0.000000e+00 8.900000e+03 5.249244e+00 5.417423e+00 7.928333e+00
0.000000e+00 9.000000e+03 5.279525e+00 5.387142e+00 7.951313e+00
0.000000e+00 9.100000e+03 5.323831e+00 5.342836e+00 7.984825e+00
0.000000e+00 9.200000e+03 5.386252e+00 5.280415e+00 8.031935e+00
0.000000e+00 9.300000e+03 5.471052e+00 5.195615e+00 8.095838e+00
0.000000e+00 9.400000e+03 5.581678e+00 5.084988e+00 8.179121e+00
0.000000e+00 9.500000e+03 5.718897e+00 4.947770e+00 8.282358e+00
0.000000e+00 9.600000e+03 5.877985e+00 4.788681e+00 8.402015e+00
0.000000e+00 9.700000e+03 6.045671e+00 4.620996e+00 8.528151e+00
0.000000e+00 9.800000e+03 6.198855e+00 4.467812e+00 8.643454e+00
0.000000e+00 9.900000e+03 6.308203e+00 4.358464e+00 8.725930e+00
0.000000e+00 1.000000e+04 6.347923e+00 4.318744e+00 8.756223e+00
0.000000e+00 1.010000e+04 6.307603e+00 4.359063e+00 8.726498e+00
0.000000e+00 1.020000e+04 6.197683e+00 4.468984e+00 8.644556e+00
0.000000e+00 1.030000e+04 6.043964e+00 4.622703e+00 8.529738e+00
0.000000e+00 1.040000e+04 5.875774e+00 4.790892e+00 8.404045e+00
0.000000e+00 1.050000e+04 5.716197e+00 4.950469e+00 8.284803e+00
0.000000e+00 1.060000e+04 5.578496e+00 5.088171e+00 8.181970e+00
0.000000e+00 1.070000e+04 5.467385e+00 5.199281e+00 8.099091e+00
0.000000e+00 1.080000e+04 5.382102e+00 5.284565e+00 8.035593e+00
0.000000e+00 1.090000e+04 5.319203e+00 5.347464e+00 7.988893e+00
0.000000e+00 1.100000e+04 5.274425e+00 5.392241e+00 7.955792e+00
0.000000e+00 1.110000e+04 5.243686e+00 5.422980e+00 7.933223e+00
0.000000e+00 1.120000e+04 5.223495e+00 5.443172e+00 7.918568e+00
0.000000e+00 1.130000e+04 5.211052e+00 5.455614e+00 7.909724e+00
0.000000e+00 1.140000e+04 5.204202e+00 5.462465e+00 7.905071e+00
0.000000e+00 1.150000e+04 5.201320e+00 5.465346e+00 7.903391e+00
0.000000e+00 1.160000e+04 5.201210e+00 5.465456e+00 7.903784e+00
0.000000e+00 1.170000e+04 5.202997e+00 5.463670e+00 7.905592e+00
0.000000e+00 1.180000e+04 5.206047e+00 5.460619e+00 7.908341e+00
0.000000e+00 1.190000e+04 5.209908e+00 5.456759e+00 7.911687e+00
0.000000e+00 1.200000e+04 5.214256e+00 5.452411e+00 7.915389e+00
0.000000e+00 1.210000e+04 5.218863e+00 5.447804e+00 7.919274e+00
0.000000e+00 1.220000e+04 5.223571e+00 5.443096e+00 7.923222e+00
0.000000e+00 1.230000e+04 5.228270e+00 5.438397e+00 7.927151e+00
0.000000e+00 1.240000e+04 5.232887e+00 5.433780e+00 7.931003e+00
0.000000e+00 1.250000e+04 5.237373e+00 5.429293e+00 7.934744e+00
0.000000e+00 1.260000e+04 5.241700e+00 5.424967e+00 7.938349e+00
0.000000e+00 1.270000e+04 5.245848e+00 5.420818e+00 7.941804e+00
0.000000e+00 1.280000e+04 5.249812e+00 5.416855e+00 7.945105e+00
0.000000e+00 1.290000e+04 5.253589e+00 5.413078e+00 7.948248e+00
0.000000e+00 1.300000e+04 5.257181e+00 5.409486e+00 7.951235e+00
0.000000e+00 1.310000e+04 5.260594e+00 5.406072e+00 7.954071e+00
0.000000e+00 1.320000e+04 5.263836e+00 5.402831e+00 7.956759e+00
0.000000e+00 1.330000e+04 5.266913e+00 5.399753e+00 7.959306e+00
0.000000e+00 1.340000e+04 5.269836e+00 5.396831e+00 7.961719e+00
0.000000e+00 1.350000e+04 5.272612e+00 5.394054e+00 7.964003e+00
0.000000e+00 1.360000e+04 5.275251e+00 5.391415e+00 7.966165e+00
0.000000e+00 1.370000e+04 5.277762e+00 5.388905e+00 7.968213e+00
0.000000e+00 1.380000e+04 5.280151e+00 5.386515e+00 7.970151e+00
0.000000e+00 1.390000e+04 5.282428e+00 5.384239e+00 7.971987e+00
0.000000e+00 1.400000e+04 5.284599e+00 5.382068e+00 7.973724e+00
0.000000e+00 1.410000e+04 5.286671e+00 5.379996e+00 7.975370e+00
0.000000e+00 1.420000e+04 5.288650e+00 5.378016e+00 7.976928e+00
0.000000e+00 1.430000e+04 5.290543e+00 5.376124e+00 7.978405e+00
0.000000e+00 1.440000e+04 5.292355e+00 5.374312e+00 7.979803e+00
0.000000e+00 1.450000e+04 5.294090e+00 5.372577e+00 7.981127e+00
0.000000e+00 1.460000e+04 5.295753e+00 5.370914e+00 7.982381e+00
0.000000e+00 1.470000e+04 5.297349e+00 5.369318e+00 7.983569e+00
0.000000e+00 1.480000e+04 5.298881e+00 5.367786e+00 7.984694e+00
0.000000e+00 1.490000e+04 5.300353e+00 5.366314e+00 7.985759e+00
0.000000e+00 1.500000e+04 5.301768e+00 5.364899e+00 7.986767e+00
0.000000e+00 1.510000e+04 5.303129e+00 5.363537e+00 7.987722e+00
0.000000e+00 1.520000e+04 5.304440e+00 5.362227e+00 7.988625e+00
0.000000e+00 1.530000e+04 5.305701e+00 5.360965e+00 7.989479e+00
0.000000e+00 1.540000e+04 5.306917e+00 5.359750e+00 7.990287e+00
0.000000e+00 1.550000e+04 5.308088e+00 5.358578e+00 7.991050e+00
0.000000e+00 1.560000e+04 5.309218e+00 5.357449e+00 7.991772e+00
0.000000e+00 1.570000e+04 5.310307e+00 5.356360e+00 7.992453e+00
0.000000e+00 1.580000e+04 5.311357e+00 5.355309e+00 7.993096e+00
