#x y exx eyy exy
0.000000e+00 0.000000e+00 5.254250e+00 5.412417e+00 7.989175e+00
0.000000e+00 1.000000e+02 5.253072e+00 5.413595e+00 7.989136e+00
0.000000e+00 2.000000e+02 5.251874e+00 5.414793e+00 7.989097e+00
0.000000e+00 3.000000e+02 5.250654e+00 5.416013e+00 7.989057e+00
0.000000e+00 4.000000e+02 5.249413e+00 5.417254e+00 7.989015e+00
0.000000e+00 5.000000e+02 5.248149e+00 5.418518e+00 7.988972e+00
0.000000e+00 6.000000e+02 5.246863e+00 5.419804e+00 7.988927e+00
0.000000e+00 7.000000e+02 5.245554e+00 5.421112e+00 7.988881e+00
0.000000e+00 8.000000e+02 5.244222e+00 5.422444e+00 7.988833e+00
0.000000e+00 9.000000e+02 5.242867e+00 5.423800e+00 7.988782e+00
0.000000e+00 1.000000e+03 5.241487e+00 5.425180e+00 7.988729e+00
0.000000e+00 1.100000e+03 5.240083e+00 5.426584e+00 7.988673e+00
0.000000e+00 1.200000e+03 5.238654e+00 5.428012e+00 7.988613e+00
0.000000e+00 1.300000e+03 5.237200e+00 5.429466e+00 7.988550e+00
0.000000e+00 1.400000e+03 5.235721e+00 5.430946e+00 7.988482e+00
0.000000e+00 1.500000e+03 5.234215e+00 5.432451e+00 7.988410e+00
0.000000e+00 1.600000e+03 5.232683e+00 5.433983e+00 7.988333e+00
0.000000e+00 1.700000e+03 5.231125e+00 5.435542e+00 7.988250e+00
0.000000e+00 1.800000e+03 5.229539e+00 5.437128e+00 7.988161e+00
0.000000e+00 1.900000e+03 5.227925e+00 5.438741e+00 7.988064e+00
0.000000e+00 2.000000e+03 5.226284e+00 5.440383e+00 7.987960e+00
0.000000e+00 2.100000e+03 5.224614e+00 5.442053e+00 7.987847e+00
0.000000e+00 2.200000e+03 5.222915e+00 5.443752e+00 7.987725e+00
0.000000e+00 2.300000e+03 5.221186e+00 5.445480e+00 7.987593e+00
0.000000e+00 2.400000e+03 5.219428e+00 5.447239e+00 7.987449e+00
0.000000e+00 2.500000e+03 5.217639e+00 5.449027e+00 7.987292e+00
0.000000e+00 2.600000e+03 5.215820e+00 5.450847e+00 7.987122e+00
0.000000e+00 2.700000e+03 5.213970e+00 5.452697e+00 7.986937e+00
0.000000e+00 2.800000e+03 5.212087e+00 5.454579e+00 7.986735e+00
0.000000e+00 2.900000e+03 5.210173e+00 5.456494e+00 7.986516e+00
0.000000e+00 3.000000e+03 5.208226e+00 5.458441e+00 7.986276e+00
0.000000e+00 3.100000e+03 5.206245e+00 5.460421e+00 7.986016e+00
